Plot Title: SHADOWFAX_SN21293014,,,
#,"Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21293014, SEN S/N: 21293014)","Temp, °F (LGR S/N: 21293014, SEN S/N: 21293014)"
2756,8/1/22 0:00,6.8,91.8
2757,8/1/22 0:05,6.78,91.72
2758,8/1/22 0:10,6.71,91.65
2759,8/1/22 0:15,6.54,91.58
2760,8/1/22 0:20,6.76,91.47
2761,8/1/22 0:25,6.21,91.44
2762,8/1/22 0:30,6.32,91.4
2763,8/1/22 0:35,6.64,91.36
2764,8/1/22 0:40,6.52,91.18
2765,8/1/22 0:45,6.39,91.15
2766,8/1/22 0:50,6.38,91.15
2767,8/1/22 0:55,6.27,91.08
2768,8/1/22 1:00,6.49,91
2769,8/1/22 1:05,6.53,90.97
2770,8/1/22 1:10,6.54,90.9
2771,8/1/22 1:15,6.32,90.86
2772,8/1/22 1:20,6.26,90.82
2773,8/1/22 1:25,6.48,90.79
2774,8/1/22 1:30,6.62,90.75
2775,8/1/22 1:35,6.5,90.61
2776,8/1/22 1:40,6.51,90.54
2777,8/1/22 1:45,6.26,90.54
2778,8/1/22 1:50,6.32,90.54
2779,8/1/22 1:55,6.42,90.5
2780,8/1/22 2:00,6.43,90.39
2781,8/1/22 2:05,6.29,90.36
2782,8/1/22 2:10,6.37,90.28
2783,8/1/22 2:15,6.13,90.32
2784,8/1/22 2:20,6.12,90.21
2785,8/1/22 2:25,6.3,90.21
2786,8/1/22 2:30,6.33,90.18
2787,8/1/22 2:35,6.12,90.1
2788,8/1/22 2:40,6.24,90.03
2789,8/1/22 2:45,6.34,89.96
2790,8/1/22 2:50,6.3,90
2791,8/1/22 2:55,6.27,89.92
2792,8/1/22 3:00,6.22,89.92
2793,8/1/22 3:05,6.18,89.89
2794,8/1/22 3:10,6.19,89.78
2795,8/1/22 3:15,6.19,89.78
2796,8/1/22 3:20,6.15,89.71
2797,8/1/22 3:25,6.06,89.71
2798,8/1/22 3:30,6.14,89.71
2799,8/1/22 3:35,6.02,89.6
2800,8/1/22 3:40,6.1,89.6
2801,8/1/22 3:45,6.07,89.49
2802,8/1/22 3:50,6.05,89.46
2803,8/1/22 3:55,5.92,89.42
2804,8/1/22 4:00,5.86,89.38
2805,8/1/22 4:05,5.93,89.38
2806,8/1/22 4:10,5.94,89.35
2807,8/1/22 4:15,5.9,89.24
2808,8/1/22 4:20,5.82,89.24
2809,8/1/22 4:25,5.88,89.24
2810,8/1/22 4:30,5.83,89.2
2811,8/1/22 4:35,5.62,89.13
2812,8/1/22 4:40,5.37,89.1
2813,8/1/22 4:45,5.48,89.06
2814,8/1/22 4:50,5.3,89.02
2815,8/1/22 4:55,5.44,89.02
2816,8/1/22 5:00,5.46,89.02
2817,8/1/22 5:05,5.39,88.99
2818,8/1/22 5:10,5.51,88.95
2819,8/1/22 5:15,5.42,88.92
2820,8/1/22 5:20,5.23,88.84
2821,8/1/22 5:25,5.29,88.81
2822,8/1/22 5:30,5.42,88.81
2823,8/1/22 5:35,5.51,88.77
2824,8/1/22 5:40,5.37,88.77
2825,8/1/22 5:45,5.28,88.7
2826,8/1/22 5:50,5.23,88.63
2827,8/1/22 5:55,5.5,88.66
2828,8/1/22 6:00,5.4,88.7
2829,8/1/22 6:05,5.32,88.66
2830,8/1/22 6:10,5.11,88.59
2831,8/1/22 6:15,4.8,88.56
2832,8/1/22 6:20,4.55,88.56
2833,8/1/22 6:25,4.27,88.48
2834,8/1/22 6:30,4.35,88.52
2835,8/1/22 6:35,4.25,88.52
2836,8/1/22 6:40,4.17,88.48
2837,8/1/22 6:45,4.07,88.48
2838,8/1/22 6:50,4.14,88.48
2839,8/1/22 6:55,4.05,88.45
2840,8/1/22 7:00,3.98,88.45
2841,8/1/22 7:05,4.14,88.41
2842,8/1/22 7:10,4.19,88.41
2843,8/1/22 7:15,3.96,88.38
2844,8/1/22 7:20,4.23,88.34
2845,8/1/22 7:25,3.96,88.3
2846,8/1/22 7:30,3.81,88.2
2847,8/1/22 7:35,4.03,88.12
2848,8/1/22 7:40,4.04,88.12
2849,8/1/22 7:45,4,88.09
2850,8/1/22 7:50,4.01,88.09
2851,8/1/22 7:55,3.99,88.12
2852,8/1/22 8:00,3.66,88.16
2853,8/1/22 8:05,3.93,88.16
2854,8/1/22 8:10,4.06,88.2
2855,8/1/22 8:15,3.94,88.3
2856,8/1/22 8:20,3.93,88.23
2857,8/1/22 8:25,4.12,88.23
2858,8/1/22 8:30,3.79,88.3
2859,8/1/22 8:35,3.75,88.38
2860,8/1/22 8:40,3.68,88.41
2861,8/1/22 8:45,3.36,88.59
2862,8/1/22 8:50,3.27,88.63
2863,8/1/22 8:55,3.38,88.45
2864,8/1/22 9:00,3.67,88.63
2865,8/1/22 9:05,4.1,88.88
2866,8/1/22 9:10,3.9,89.06
2867,8/1/22 9:15,3.86,89.02
2868,8/1/22 9:20,4.03,89.31
2869,8/1/22 9:25,4.27,89.35
2870,8/1/22 9:30,4.19,89.56
